,ari,ari,svm_auc_pseudo,svm_auc_pseudo,svm_auc_truth,svm_auc_truth,rf_auc_pseudo,rf_auc_pseudo,rf_auc_truth,rf_auc_truth
,mean,std,mean,std,mean,std,mean,std,mean,std
n_components,,,,,,,,,,
gmm_2,0.8518973112236757,0.018902944471059464,0.9909147587817948,0.01212378922854098,0.9929090607760968,0.008313263525130154,0.9805080064082835,0.02576520970545712,0.9873692891698432,0.014892446858609272
gmm_3,0.8654233548175702,0.043430704443194044,0.9920464679467449,0.007983490409469133,0.9928932768267948,0.008674700975440581,0.9828029926367876,0.022805174554449213,0.9919513696522007,0.007477082121640471
gmm_112,0.8530742737555304,0.029811928801576026,0.9844962157981548,0.013935777019006257,1.0,0.0,0.9985991744994515,0.0019729620945931714,0.999161083094601,0.0012433479835010008
kmeans_2,0.7236760998355584,0.086171127397396,0.9872584069259969,0.014588232956267443,0.9929090607760968,0.008313263525130154,0.9833329387346008,0.01571503470105122,0.9873692891698432,0.014892446858609272
kmeans_3,0.7266155707134011,0.08506438547377668,0.9875038473376424,0.017733011392661938,0.9928932768267948,0.008674700975440581,0.9912943627625068,0.008510432475693606,0.9919513696522007,0.007477082121640471
kmeans_112,0.8497687822524853,0.027084337696034293,0.9847732241084042,0.014295701163441291,1.0,0.0,0.9985991744994515,0.0019729620945931714,0.999161083094601,0.0012433479835010008
umap_hier_bad,0.11738849463570822,0.009448924993114,0.5891824703459052,0.08002922401914296,0.9343241707507636,0.03665787293242968,0.5934457150523633,0.04035162217364034,0.9479334864376415,0.046994212932084965
